year,result_code,electoral_district_name,polling_division_name,party,candidate,votes,percentage,affiliation
2010,01C,Colombo,Borella,UDF,C. J. Sugathsiri Gamage,65,0.16,
2010,01C,Colombo,Borella,JSP,A. A. Suraweera,34,0.08,
2010,01C,Colombo,Borella,Ind 1,W. V. M. Ranjith,47,0.11,
2010,01C,Colombo,Borella,LF,Vikramabahu Karunaratne,46,0.11,
2010,01C,Colombo,Borella,ONF,Lal Perera,34,0.08,
2010,01C,Colombo,Borella,NSH,Sarath Manamendra,29,0.07,
2010,01C,Colombo,Borella,Ind 3,Ukkubanda Wijekoon,28,0.07,
2010,01C,Colombo,Borella,Ind 5,M. K. Shivajilingam,28,0.07,
2010,01C,Colombo,Borella,USP,Siritunga Jayasuriya,23,0.06,
2010,01C,Colombo,Borella,Ind 2,Aithurus Mohamed Illias,16,0.04,
2010,01C,Colombo,Borella,SEP,Wije Dias,11,0.03,
2010,01C,Colombo,Borella,JP,Baththaramulle Seelarathana Thero,7,0.02,
2010,01C,Colombo,Borella,NA,Sanath Pinnaduwa,7,0.02,
2010,01C,Colombo,Borella,Ind 4,M. Mohamed Musthaffa,7,0.02,
2010,01C,Colombo,Borella,UNAF,Sarath Kongahage,7,0.02,
2010,01C,Colombo,Borella,RPP,Aruna de Soyza,8,0.02,
2010,01C,Colombo,Borella,PNF,Senaratna de Silva,6,0.01,
2010,01C,Colombo,Borella,ACAKO,M. B. Theminimulla,8,0.02,
2015,01C,Colombo,Borella,I-AMI,Aithurus Mohamed Illias,31,0.07,
2015,01C,Colombo,Borella,UPF,Maulawi Ibrahim Mohanmed Mishlar,36,0.08,
2015,01C,Colombo,Borella,DNM,Prasanna Priyankara,5,0.01,
2015,01C,Colombo,Borella,SLNF,Wimal Geeganage,2,0.0,
2015,01C,Colombo,Borella,USP,Siritunga Jayasuriya,21,0.04,
2015,01C,Colombo,Borella,AACAAKO,M. B. Theminimulla,15,0.03,
2015,01C,Colombo,Borella,SEP,Pani Wijesiriwardane,16,0.03,
2015,01C,Colombo,Borella,FSP,Duminda Nagamuwa,22,0.05,
2015,01C,Colombo,Borella,SLLP,A. S. P. Liyanage,78,0.17,
2015,01C,Colombo,Borella,NDF,Maithripala Sirisena,31469,66.97,green
2015,01C,Colombo,Borella,ULPP,Ruwanthilaka Peduru Arachchi,37,0.08,
2015,01C,Colombo,Borella,I-AP,Anuruddha Polgampala,7,0.01,
2015,01C,Colombo,Borella,JSP,Baththaramulle Seelarathana Thero,16,0.03,
2015,01C,Colombo,Borella,NSH,Sarath Manamendra,7,0.01,
2015,01C,Colombo,Borella,PNF,Arachchige Rathnayaka Sirisena,37,0.08,
2015,01C,Colombo,Borella,UPFA,Mahinda Rajapaksa,15148,32.24,blue
2015,01C,Colombo,Borella,ONF,Namal Ajith Rajapaksa,30,0.06,
2015,01C,Colombo,Borella,NSSP,Sundaram Mahendran,10,0.02,red
2015,01C,Colombo,Borella,ULGC,Jayantha Kulathunga,3,0.01,
1982,01D,Colombo,Colombo East,UNP,Junius Richard Jayewardene,21367,60.57,green
1982,01D,Colombo,Colombo East,SLFP,Hector Kobbekaduwa,11268,31.94,blue
1982,01D,Colombo,Colombo East,JVP,Rohana Wijeweera,1352,3.83,red
1982,01D,Colombo,Colombo East,LSSP,Colvin Reginald de Silva,828,2.35,red
1982,01D,Colombo,Colombo East,ACTC,Kumar Ponnambalam,320,0.91,yellow
1982,01D,Colombo,Colombo East,NSSP,Vasudeva Nanayakkara,142,0.4,red
1988,01D,Colombo,Colombo East,UNP,Ranasinghe Premadasa,16480,51.09,green
1988,01D,Colombo,Colombo East,SLFP,Sirimavo Bandaranaike,13477,41.78,blue
1988,01D,Colombo,Colombo East,SLPP,Oswin Abeygunasekara,2298,7.12,purple
1994,01D,Colombo,Colombo East,PA,Chandrika Kumaratunga,23867,63.79,blue
1994,01D,Colombo,Colombo East,UNP,Srimathi Dissanayake,12806,34.23,green
1994,01D,Colombo,Colombo East,SMBP,Harischandra Wijayatunga,373,1.0,
1994,01D,Colombo,Colombo East,Ind 1,Arthur Jayasena Ranasinghe,182,0.49,
1994,01D,Colombo,Colombo East,Ind 2,Hudson Samarasinghe,115,0.31,
1994,01D,Colombo,Colombo East,SLPF,G. A. Nihal,72,0.19,
1999,01D,Colombo,Colombo East,PA,Chandrika Kumaratunga,17777,41.56,blue
1999,01D,Colombo,Colombo East,UNP,Ranil Wickremesinghe,22281,52.09,green
1999,01D,Colombo,Colombo East,JVP,M. D. Nandana Gunathilake,1486,3.47,red
1999,01D,Colombo,Colombo East,SMBP,Harischandra Wijayatunga,410,0.96,
1999,01D,Colombo,Colombo East,LDA,Vasudeva Nanayakkara,419,0.98,
1999,01D,Colombo,Colombo East,SLMP,Abdul Rasool,109,0.25,purple
1999,01D,Colombo,Colombo East,Liberal,Rajiva Wijesinha,89,0.21,
1999,01D,Colombo,Colombo East,Ind 1,T. Edirisuriya,59,0.14,
1999,01D,Colombo,Colombo East,Ind 2,W. V. M. Ranjith,61,0.14,
1999,01D,Colombo,Colombo East,PLSF,Kamal Karunadasa,34,0.08,
1999,01D,Colombo,Colombo East,Ind 3,Hudson Samarasinghe,19,0.04,
1999,01D,Colombo,Colombo East,DUNF,A. Dissanayaka,16,0.04,
1999,01D,Colombo,Colombo East,PFF,A. W. Premawardhana,10,0.02,
2005,01D,Colombo,Colombo East,UNP,Ranil Wickremesinghe,28832,62.4,green
2005,01D,Colombo,Colombo East,UPFA,Mahinda Rajapaksa,16919,36.62,blue
2005,01D,Colombo,Colombo East,USP,Siritunga Jayasuriya,102,0.22,
2005,01D,Colombo,Colombo East,ULPP,Victor Hettigoda,159,0.34,
2005,01D,Colombo,Colombo East,JSP,A. A. Suraweera,66,0.14,
2005,01D,Colombo,Colombo East,NLF,Chamil Jayaneththi,33,0.07,
2005,01D,Colombo,Colombo East,ULF,Anura De Silva,24,0.05,
2005,01D,Colombo,Colombo East,RPP,Aruna de Soyza,11,0.02,
2005,01D,Colombo,Colombo East,SLNF,Wimal Geeganage,15,0.03,
2005,01D,Colombo,Colombo East,SEP,Wije Dias,23,0.05,
2005,01D,Colombo,Colombo East,DUA,A. K. J. Arachchige,13,0.03,
2005,01D,Colombo,Colombo East,SLPF,P. Nelson Perera,4,0.01,
2005,01D,Colombo,Colombo East,UNAF,H. S. Dharmadwaja,5,0.01,
2010,01D,Colombo,Colombo East,UPFA,Mahinda Rajapaksa,19107,39.56,blue
2010,01D,Colombo,Colombo East,NDF,Sarath Fonseka,28334,58.67,green
2010,01D,Colombo,Colombo East,SLLP,A. S. P. Liyanage,207,0.43,
2010,01D,Colombo,Colombo East,DUNF,M. C. M. Ismail,81,0.17,
2010,01D,Colombo,Colombo East,UDF,C. J. Sugathsiri Gamage,74,0.15,
2010,01D,Colombo,Colombo East,JSP,A. A. Suraweera,43,0.09,
2010,01D,Colombo,Colombo East,Ind 1,W. V. M. Ranjith,30,0.06,
2010,01D,Colombo,Colombo East,LF,Vikramabahu Karunaratne,109,0.23,
2010,01D,Colombo,Colombo East,ONF,Lal Perera,38,0.08,
2010,01D,Colombo,Colombo East,NSH,Sarath Manamendra,30,0.06,
2010,01D,Colombo,Colombo East,Ind 3,Ukkubanda Wijekoon,31,0.06,
2010,01D,Colombo,Colombo East,Ind 5,M. K. Shivajilingam,66,0.14,
2010,01D,Colombo,Colombo East,USP,Siritunga Jayasuriya,44,0.09,
2010,01D,Colombo,Colombo East,Ind 2,Aithurus Mohamed Illias,19,0.04,
2010,01D,Colombo,Colombo East,SEP,Wije Dias,25,0.05,
2010,01D,Colombo,Colombo East,JP,Baththaramulle Seelarathana Thero,14,0.03,
2010,01D,Colombo,Colombo East,NA,Sanath Pinnaduwa,13,0.03,
2010,01D,Colombo,Colombo East,Ind 4,M. Mohamed Musthaffa,4,0.01,
2010,01D,Colombo,Colombo East,UNAF,Sarath Kongahage,14,0.03,
2010,01D,Colombo,Colombo East,RPP,Aruna de Soyza,3,0.01,
2010,01D,Colombo,Colombo East,PNF,Senaratna de Silva,4,0.01,
2010,01D,Colombo,Colombo East,ACAKO,M. B. Theminimulla,5,0.01,
2015,01D,Colombo,Colombo East,I-AMI,Aithurus Mohamed Illias,25,0.05,
2015,01D,Colombo,Colombo East,UPF,Maulawi Ibrahim Mohanmed Mishlar,32,0.06,
2015,01D,Colombo,Colombo East,DNM,Prasanna Priyankara,3,0.01,
2015,01D,Colombo,Colombo East,SLNF,Wimal Geeganage,5,0.01,
2015,01D,Colombo,Colombo East,USP,Siritunga Jayasuriya,36,0.07,
2015,01D,Colombo,Colombo East,AACAAKO,M. B. Theminimulla,11,0.02,
2015,01D,Colombo,Colombo East,SEP,Pani Wijesiriwardane,21,0.04,
2015,01D,Colombo,Colombo East,FSP,Duminda Nagamuwa,31,0.06,
2015,01D,Colombo,Colombo East,SLLP,A. S. P. Liyanage,47,0.09,
2015,01D,Colombo,Colombo East,NDF,Maithripala Sirisena,35167,67.45,green
2015,01D,Colombo,Colombo East,ULPP,Ruwanthilaka Peduru Arachchi,33,0.06,
2015,01D,Colombo,Colombo East,I-AP,Anuruddha Polgampala,14,0.03,
2015,01D,Colombo,Colombo East,JSP,Baththaramulle Seelarathana Thero,13,0.02,
2015,01D,Colombo,Colombo East,NSH,Sarath Manamendra,16,0.03,
2015,01D,Colombo,Colombo East,PNF,Arachchige Rathnayaka Sirisena,23,0.04,
2015,01D,Colombo,Colombo East,UPFA,Mahinda Rajapaksa,16601,31.84,blue
2015,01D,Colombo,Colombo East,ONF,Namal Ajith Rajapaksa,32,0.06,
2015,01D,Colombo,Colombo East,NSSP,Sundaram Mahendran,18,0.03,red
2015,01D,Colombo,Colombo East,ULGC,Jayantha Kulathunga,9,0.02,
1982,01E,Colombo,Colombo West,UNP,Junius Richard Jayewardene,22115,77.52,green
1982,01E,Colombo,Colombo West,SLFP,Hector Kobbekaduwa,4751,16.65,blue
1982,01E,Colombo,Colombo West,JVP,Rohana Wijeweera,576,2.02,red
1982,01E,Colombo,Colombo West,LSSP,Colvin Reginald de Silva,409,1.43,red
1982,01E,Colombo,Colombo West,ACTC,Kumar Ponnambalam,521,1.83,yellow
1982,01E,Colombo,Colombo West,NSSP,Vasudeva Nanayakkara,156,0.55,red
1988,01E,Colombo,Colombo West,UNP,Ranasinghe Premadasa,14670,62.36,green
1988,01E,Colombo,Colombo West,SLFP,Sirimavo Bandaranaike,7473,31.77,blue
1988,01E,Colombo,Colombo West,SLPP,Oswin Abeygunasekara,1380,5.87,purple
